latitude,longitude,state_name,district,taluka_name,sowing_period,year,crop_name,ndvi_capture_period,ndvi_value,location,ndvi_capture_date,interval_range,sowing_year,sowing_date,harvest_year,harvest_period
25.40034696,77.58681518,Madhya Pradesh,SHIVPURI,,nov_1f,,Mustard,jan_1f,188.0,,,,2022,,2023,mar_1f
26.50782239,77.80884478,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,172.0,,,,2022,,2023,mar_1f
26.1288602999999,78.8503938,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,162.0,,,,2022,,2023,mar_1f
25.0071857999999,79.2945088999999,Madhya Pradesh,TIKAMGARH,,nov_2f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
26.45318101,78.0574885799999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
26.3040321,78.9888511999999,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,164.0,,,,2022,,2023,mar_1f
26.5406547,78.7551408,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,170.5,,,,2022,,2023,mar_1f
26.42878668,77.7319067399999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
24.0875635999999,77.2328341999999,Madhya Pradesh,GUNA,,nov_1f,,Mustard,jan_1f,191.0,,,,2022,,2023,mar_1f
24.3351782999999,77.0985694999999,Madhya Pradesh,GUNA,,nov_1f,,Mustard,jan_1f,183.0,,,,2022,,2023,mar_1f
24.10674144,76.2408678999999,Madhya Pradesh,RAJGARH,,nov_1f,,Mustard,jan_1f,190.0,,,,2022,,2023,mar_1f
26.56754554,77.98582159,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
26.45368654,78.0578970499999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,172.0,,,,2022,,2023,mar_1f
26.2252851699999,77.54903167,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,175.0,,,,2022,,2023,mar_1f
26.1582441,78.4352633999999,Madhya Pradesh,GWALIOR,,nov_1f,,Mustard,jan_1f,179.0,,,,2022,,2023,mar_1f
26.4870474099999,77.83797207,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,175.0,,,,2022,,2023,mar_1f
26.5142403999999,78.2296379,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,166.0,,,,2022,,2023,mar_1f
25.9533090999999,78.8988989,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,161.0,,,,2022,,2023,mar_1f
24.9520538,75.244449,Madhya Pradesh,NIMACH,,oct_2f,,Mustard,jan_1f,184.0,,,,2022,,2023,mar_1f
24.8069621,78.8689358,Madhya Pradesh,TIKAMGARH,,nov_1f,,Mustard,jan_1f,182.0,,,,2022,,2023,mar_1f
26.3044453999999,78.5854352,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,169.0,,,,2022,,2023,mar_1f
26.2300828999999,78.72695,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,163.0,,,,2022,,2023,mar_1f
26.3165590499999,77.42617011,Madhya Pradesh,MORENA,,oct_2f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
24.6020307,77.2566235999999,Madhya Pradesh,GUNA,,oct_2f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
24.6463819,75.0787281,Madhya Pradesh,NIMACH,,nov_1f,,Mustard,jan_1f,191.0,,,,2022,,2023,mar_1f
24.672975,77.9191833,Madhya Pradesh,ASHOKNAGAR,,oct_2f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
26.5625996499999,77.94246952,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
26.36686007,77.82263294,Madhya Pradesh,MORENA,,oct_2f,,Mustard,jan_1f,176.0,,,,2022,,2023,mar_1f
26.4454339,78.0788048299999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,176.0,,,,2022,,2023,mar_1f
26.0576759,78.0965204999999,Madhya Pradesh,GWALIOR,,nov_1f,,Mustard,jan_1f,177.0,,,,2022,,2023,mar_1f
26.3830649199999,78.1965718999999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,176.0,,,,2022,,2023,mar_1f
26.7128702999999,78.4387653,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,183.5,,,,2022,,2023,mar_1f
26.4773314999999,78.4860421,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,164.0,,,,2022,,2023,mar_1f
26.73048661,78.4708783899999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,179.5,,,,2022,,2023,mar_1f
26.2328375899999,77.6711816199999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,179.0,,,,2022,,2023,mar_1f
26.3179070999999,78.6874751,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,162.0,,,,2022,,2023,mar_1f
26.297339,79.0335711999999,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,185.5,,,,2022,,2023,mar_1f
26.1186231999999,78.7856998999999,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,167.0,,,,2022,,2023,mar_1f
26.1186902,78.7857309999999,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,167.0,,,,2022,,2023,mar_1f
26.1186694,78.7856864999999,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,167.0,,,,2022,,2023,mar_1f
26.1188439,78.7857781,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,168.0,,,,2022,,2023,mar_1f
26.2493547,78.6575914,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
26.1153292,78.9212244,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,164.0,,,,2022,,2023,mar_1f
26.4674087,78.4403764,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,165.0,,,,2022,,2023,mar_1f
26.5227246,78.2546849999999,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,164.0,,,,2022,,2023,mar_1f
26.28494714,77.5873277099999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,177.0,,,,2022,,2023,mar_1f
26.66885908,78.3058962199999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,165.0,,,,2022,,2023,mar_1f
25.05108328,77.75361243,Madhya Pradesh,SHIVPURI,,oct_2f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
26.2487801099999,77.8667023499999,Madhya Pradesh,MORENA,,oct_2f,,Mustard,jan_1f,185.0,,,,2022,,2023,mar_1f
26.1279882,78.0432799,Madhya Pradesh,GWALIOR,,oct_2f,,Mustard,jan_1f,182.0,,,,2022,,2023,mar_1f
25.7046935499999,77.47395414,Madhya Pradesh,SHIVPURI,,oct_2f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
23.959914,77.0832395999999,Madhya Pradesh,RAJGARH,,nov_1f,,Mustard,jan_1f,188.0,,,,2022,,2023,mar_1f
24.7727995,77.2416388999999,Madhya Pradesh,GUNA,,nov_1f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
25.0671433999999,79.6620487999999,Madhya Pradesh,CHHATARPUR,,nov_1f,,Mustard,jan_1f,184.0,,,,2022,,2023,mar_1f
24.7080518,75.0816379999999,Madhya Pradesh,NIMACH,,nov_1f,,Mustard,jan_1f,194.0,,,,2022,,2023,mar_1f
25.9860829,78.0754077,Madhya Pradesh,GWALIOR,,nov_1f,,Mustard,jan_1f,173.0,,,,2022,,2023,mar_1f
26.4066277,78.5527010999999,Madhya Pradesh,BHIND,,oct_2f,,Mustard,jan_1f,169.0,,,,2022,,2023,mar_1f
26.1138964999999,77.7051873399999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
26.2157573799999,77.5545460999999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
26.23681753,77.5867669,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
26.2672023999999,78.9797475,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,172.0,,,,2022,,2023,mar_1f
